transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.3,not_applicable,5,2017,2895,91050,2766,1160,87148,18174,0.4193781634128706,0.20854179097627026,0.21083637243660033,2.0110029814627954
P_TO_C,120,0.3,not_applicable,5,2018,3407,101293,3329,1555,98645,26017,0.4671072394112346,0.26374372750772973,0.20336351190350488,1.771064828063237
P_TO_C,120,0.3,not_applicable,5,2019,4064,89051,3979,1818,85264,19367,0.4568987182709223,0.2271415837868268,0.22975713448409552,2.0115150676228595
P_TO_C,120,0.3,not_applicable,5,2020,3331,117411,3266,1476,113776,26190,0.4519289650949173,0.23018914358036843,0.22173982151454888,1.9632940027735515
P_TO_C,120,0.3,not_applicable,5,2021,4020,116148,3922,1694,112639,27163,0.43192248852626214,0.24115093351325917,0.19077155501300297,1.7910877732617767
P_TO_C,120,0.3,not_applicable,5,2022,4970,115610,4915,2097,113239,28656,0.42665310274669377,0.2530576921378677,0.17359541060882605,1.6859914399055294
P_TO_C,120,0.3,not_applicable,5,2023,5269,108034,5221,2254,106666,27815,0.43171806167400884,0.26076725479534246,0.17095080687866637,1.655568533759476
P_TO_C,120,0.3,not_applicable,5,2024,3968,150081,3942,1714,147848,36532,0.43480466768138,0.2470916075969915,0.18771306008438848,1.759690148564455
P_TO_C,120,0.3,not_applicable,5,2025,4567,118736,4545,1888,117184,27603,0.4154015401540154,0.23555263517203714,0.17984890498197828,1.7635189682791053
P_TO_C,120,0.3,not_applicable,5,2026,1407,77050,1374,522,72360,14160,0.3799126637554585,0.1956882255389718,0.1842244382164867,1.9414181037673008
P_TO_C,120,0.3,not_applicable,10,2016,1040,20379,659,308,15319,3454,0.4673748103186646,0.2254716365297996,0.24190317378886503,2.072876293940829
P_TO_C,120,0.3,not_applicable,10,2017,2895,91050,2771,1135,87406,20003,0.40959942259112236,0.2288515662540329,0.18074785633708945,1.7898038859670868
P_TO_C,120,0.3,not_applicable,10,2018,3407,101293,3335,1461,98722,28646,0.4380809595202399,0.29016835153258647,0.14791260798765343,1.5097475558806508
P_TO_C,120,0.3,not_applicable,10,2019,4064,89051,3984,1791,85372,21203,0.4495481927710843,0.24836011807149885,0.20118807469958547,1.8100659488399289
P_TO_C,120,0.3,not_applicable,10,2020,3331,117411,3269,1369,113883,28446,0.4187825022942796,0.2497826716893654,0.1689998306049142,1.6765874888834789
P_TO_C,120,0.3,not_applicable,10,2021,4020,116148,3937,1672,112759,28924,0.42468884937769874,0.25651167534298813,0.1681771740347106,1.655631654231086
P_TO_C,120,0.3,not_applicable,10,2022,4970,115610,4922,2003,113384,30875,0.4069483949613978,0.2723047343540535,0.13464366060734428,1.4944594919612348
P_TO_C,120,0.3,not_applicable,10,2023,5269,108034,5228,2141,106770,30312,0.4095256312165264,0.2838999719022197,0.1256256593143067,1.442499724366209
P_TO_C,120,0.3,not_applicable,10,2024,3968,150081,3941,1513,147887,38744,0.38391271250951536,0.2619838119645405,0.12192890054497485,1.465406238769737
P_TO_C,120,0.3,not_applicable,10,2025,4567,118736,4547,1923,117246,30272,0.4229162084891137,0.25819217713184245,0.16472403135727126,1.6379900165339134
P_TO_C,120,0.3,not_applicable,10,2026,1407,77050,1358,456,68541,13326,0.33578792341678937,0.1944237755504005,0.14136414786638887,1.727092905516296
P_TO_C,120,0.3,not_applicable,20,2016,1040,20379,763,337,16733,4507,0.4416775884665793,0.2693479949799797,0.1723295934865996,1.6398027707591016
P_TO_C,120,0.3,not_applicable,20,2017,2895,91050,2796,1031,87880,22858,0.3687410586552217,0.2601046882111971,0.10863637044402463,1.4176640228638062
P_TO_C,120,0.3,not_applicable,20,2018,3407,101293,3345,1325,98885,32609,0.3961136023916293,0.3297669009455428,0.06634670144608651,1.2011927250911179
P_TO_C,120,0.3,not_applicable,20,2019,4064,89051,4000,1747,85650,23597,0.43675,0.2755049620548745,0.1612450379451255,1.5852709030809
P_TO_C,120,0.3,not_applicable,20,2020,3331,117411,3285,1273,114130,31528,0.38751902587519027,0.27624638570051696,0.11127264017467331,1.4028021575467986
P_TO_C,120,0.3,not_applicable,20,2021,4020,116148,3954,1634,113091,31762,0.4132524026302479,0.2808534719827396,0.1323989306475083,1.471416392728964
P_TO_C,120,0.3,not_applicable,20,2022,4970,115610,4928,1952,113703,34192,0.3961038961038961,0.3007132617433137,0.09539063436058243,1.3172145910944462
P_TO_C,120,0.3,not_applicable,20,2023,5269,108034,5237,2001,106960,32110,0.3820889822417415,0.30020568436798806,0.08188329787375342,1.2727573198560158
