transition_path,W,q,K,lag_k,primary_stay_out_baseline_probability,unconditional_lag_support_marginal_probability,target_status_standardized_baseline_probability,target_status_matched_event_count,target_status_matched_true_count,target_status_matched_observed_probability,target_status_matched_event_coverage,security_year_standardized_baseline_probability,security_year_matched_anchor_count,security_year_unmatched_stratum_count,security_year_coverage,observed_probability,primary_absolute_difference,target_status_standardized_absolute_difference,security_year_standardized_absolute_difference,warnings
P_TO_T,500,0.2,not_applicable,20,0.14955330425346966,0.1459939509292462,0.14933294361940708,20182,2773,0.1373996630660985,1.0,0.1517871744600187,20182,0,1.0,0.1373996630660985,-0.012153641187371167,-0.011933280553308584,-0.014387511393920194,""
P_TO_T,500,0.3,not_applicable,1,0.22455767044308717,0.252090130699072,0.2613136244255679,23500,7373,0.31374468085106383,1.0,0.20531192217774674,23499,1,0.9999574468085106,0.31374468085106383,0.08918701040797666,0.05243105642549595,0.10843275867331709,""
P_TO_T,500,0.3,not_applicable,3,0.23233357829461088,0.252090130699072,0.2516799688259033,23500,7555,0.32148936170212766,1.0,0.2185883513132375,23499,1,0.9999574468085106,0.32148936170212766,0.08915578340751679,0.06980939287622434,0.10290101038889016,""
P_TO_T,500,0.3,not_applicable,5,0.24076435907813132,0.252090130699072,0.24968377839252898,23499,7243,0.3082258819524235,1.0,0.23360246880111477,23498,1,0.9999574449976595,0.3082258819524235,0.06746152287429219,0.05854210355989453,0.07462341315130874,""
P_TO_T,500,0.3,not_applicable,10,0.25526275319653763,0.252090130699072,0.2562690451903903,23494,6318,0.2689197241848983,1.0,0.2588135884769001,23493,1,0.9999574359410913,0.2689197241848983,0.013656970988360662,0.012650678994508002,0.010106135707998176,""
P_TO_T,500,0.3,not_applicable,20,0.2594225551982329,0.252090130699072,0.25883312064549957,23479,5720,0.24362196004940584,1.0,0.2642713263689531,23478,1,0.9999574087482431,0.24362196004940584,-0.015800595148827035,-0.015211160596093731,-0.02064936631954728,""
P_TO_V,120,0.1,not_applicable,1,0.06627387703944926,0.09278032108165643,0.22593483842825413,25289,6340,0.2507018861955791,0.9994467059241987,0.0744635156980589,25301,2,0.9999209579891712,0.250681737343398,0.18440786030394873,0.024767047767324968,0.1762182216453391,""
P_TO_V,120,0.1,not_applicable,3,0.06985572044181018,0.09278032108165643,0.20410218029787427,25287,6134,0.24257523628742042,0.9979478274596472,0.07899722228946346,25338,1,0.9999605351434547,0.24223528947472275,0.17237956903291257,0.038473055989546145,0.1632380671852593,""
P_TO_V,120,0.1,not_applicable,5,0.07343210105410597,0.09278032108165643,0.18807239365163467,25287,5732,0.2266777395499664,0.9964534814989952,0.08323302166558269,25377,0,1.0,0.22618906884186468,0.1527569677877587,0.03860534589833173,0.142956047176282,""
P_TO_V,120,0.1,not_applicable,10,0.0811831405345738,0.09278032108165643,0.1551701585870619,25282,4709,0.18625899849695435,0.9922681423917736,0.09197662737059346,25479,0,1.0,0.18548608658110602,0.10430294604653222,0.031088839909892446,0.09350945921051255,""
P_TO_V,120,0.1,not_applicable,20,0.09238339644470941,0.09278032108165643,0.11111746872343141,25271,2908,0.11507261287641961,0.9841115308228514,0.10419413766597269,25677,2,0.9999221153471708,0.11417890104754858,0.02179550460283916,0.003955144152988199,0.00998476338157589,""
P_TO_V,120,0.2,not_applicable,1,0.10559416569275012,0.16453169529532033,0.29506822881859474,32740,10538,0.32186927306047647,0.9994810269560704,0.11625440320558425,32757,0,1.0,0.32191592636688343,0.2163217606741333,0.026801044241881733,0.20566152316129918,""
P_TO_V,120,0.2,not_applicable,3,0.11143191713350513,0.16453169529532033,0.27583480977397207,32737,10598,0.3237315575648349,0.9985054596474104,0.12298623547175684,32786,0,1.0,0.3236442383944366,0.21221232126093148,0.04789674779086284,0.20065800292267977,""
P_TO_V,120,0.2,not_applicable,5,0.11773086824091428,0.16453169529532033,0.26226750690458434,32735,10452,0.3192912784481442,0.9975316918576305,0.13017446314815945,32816,0,1.0,0.31902120916626037,0.2012903409253461,0.057023771543559865,0.18884674601810092,""
P_TO_V,120,0.2,not_applicable,10,0.13354322984985212,0.16453169529532033,0.23712145371451454,32726,9577,0.2926419360752918,0.9940767291394551,0.14771580062540945,32919,2,0.9999392485039944,0.29248807751890893,0.1589448476690568,0.05552048236077728,0.14477227689349947,""
